5.60948, 100.3833
5.55563, 100.3292
5.55563, 100.3833
5.55563, 100.4374
5.55563, 100.4915
5.55563, 100.5457
5.50178, 100.1669
5.50178, 100.221
5.50178, 100.2751
5.50178, 100.3833
5.50178, 100.4374
5.50178, 100.4915
5.50178, 100.5457
5.44791, 100.1669
5.44791, 100.221
5.44791, 100.2751
5.44791, 100.3292
5.44791, 100.3833
5.44791, 100.4374
5.44791, 100.4915
5.44791, 100.5457
5.39405, 100.1669
5.39405, 100.221
5.39405, 100.2751
5.39405, 100.3292
5.39405, 100.3833
5.39405, 100.4374
5.39405, 100.4915
5.39405, 100.5457
5.34019, 100.1669
5.34019, 100.221
5.34019, 100.2751
5.34019, 100.3292
5.34019, 100.3833
5.34019, 100.4374
5.34019, 100.4915
5.34019, 100.5457
5.28631, 100.1669
5.28631, 100.221
5.28631, 100.2751
5.28631, 100.3292
5.28631, 100.3833
5.28631, 100.4374
5.28631, 100.4915
5.28631, 100.5457
5.23244, 100.1669
5.23244, 100.2751
5.23244, 100.3833
5.23244, 100.4374
5.23244, 100.4915
5.23244, 100.5457
5.17855, 100.3833
5.17855, 100.4374
5.17855, 100.4915
5.17855, 100.5457
5.12466, 100.3833
5.12466, 100.4374
5.12466, 100.4915
5.12466, 100.5457
